"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"3534 RRAS1",216314,211990,207319,202960,199898,198710,198740,199998,201635,202328,201288,200103,196735,192491,188623,185687,182624,180657,179513,178622,177688
"4105 MACRORREGIONAL NORTE",173556,170260,167741,165667,163831,162196,161987,161650,160786,159193,156758,153726,149178,143957,138656,134492,131221,128520,126608,125501,124093
"4106 MACRORREGIONAL NOROESTE",159328,157049,155358,154148,153133,152235,151090,149692,147903,145382,142143,139757,136030,131613,127222,123867,121400,119468,118267,117813,117115
"4107 MACRORREGIONAL LESTE",438810,439756,442048,445486,449568,453707,456426,458278,458931,457595,453721,449206,440649,429973,419170,411747,402123,394333,388940,386027,382237
"4108 MACRORREGIAO OESTE",182597,180452,178967,178005,177340,176801,175958,174920,173416,171151,167948,163993,158537,152233,145872,140737,136959,133817,131490,129997,128207
"4210 SUL",85250,84076,82798,81523,80259,79026,78481,78015,77456,76493,74929,72855,70104,67265,64881,63222,62413,61930,61696,61506,61098
"4211 PLANALTO NORTE E NORDESTE",104494,104896,105118,105242,105406,105630,106044,106567,106984,106817,105824,103933,101129,98104,95772,94493,93593,93199,93156,93173,92870
"4212 MEIO OESTE E SERRA CATARINENSE",86262,85241,84185,83126,82084,81064,81104,81352,81420,81035,80037,77306,73751,70073,66894,64432,62539,60983,59651,58363,56859
"4213 GRANDE OESTE",73694,72574,71482,70422,69376,68346,67822,67441,66958,66056,64664,62360,59416,56409,53778,51746,50497,49508,48720,47962,47025
"4214 GRANDE FLORIANOPOLIS",78383,79279,80034,80674,81345,82077,81689,81372,80907,80066,78641,77513,75715,73798,72384,71764,71307,71243,71451,71684,71701
"4215 FOZ DO RIO ITAJAI",39015,40377,41605,42791,43989,45204,45863,46520,47142,47532,47557,47199,46425,45573,45035,45003,45066,45357,45829,46326,46662
"4216 ALTO VALE DO ITAJAI",76125,76565,76881,77081,77247,77514,77295,77050,76742,76070,74882,73839,72198,70450,69188,68681,68455,68571,68976,69421,69639
"4308 VALES",71674,70550,69778,69262,68894,68611,68291,67957,67490,66816,65797,65001,63338,61344,59542,58078,56238,54682,53356,52095,50749
"4309 SUL",88182,86798,85895,85400,85067,84807,84963,85127,85182,84898,84212,82967,80688,77937,75437,73323,70628,68301,66300,64374,62360
"4310 SERRA",82097,82477,83072,83841,84765,85723,85179,84487,83653,82573,81045,81218,80428,79186,78180,77646,76267,75218,74485,73863,73087
"4310 SERRA",116625,113336,110849,108860,107089,105502,104554,103741,102735,101373,99580,97474,93946,89981,86309,83041,79951,77250,74894,72621,70213
"4312 MISSIONEIRA",85415,82224,79671,77534,75611,73740,73034,72409,71684,70692,69421,67390,64490,61199,58105,55345,53111,51156,49441,47772,46026
"4313 METROPOLITANA",388280,386052,385299,385987,387463,389113,390025,390646,390727,389360,386011,382960,375336,365556,356913,350327,339574,330473,322876,315625,307869
"4314 CENTRO-OESTE",96028,93959,92518,91558,90821,90160,89863,89688,89352,88677,87626,85801,82870,79457,76306,73550,70783,68396,66317,64325,62228
"5005 TRES LAGOAS",22183,22170,22206,22266,22295,22287,22335,22326,22269,22144,21945,21554,21056,20658,20354,20164,20098,19985,19892,19872,19812
"5006 DOURADOS",70293,70301,70489,70749,70946,70979,71433,71786,71961,71895,71573,70454,68959,67762,66938,66381,65961,65391,64888,64593,64180
